package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_1.csv,,Level of Service,,text,6,A | B | C | D | E,,,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 7 rows."
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_1.csv,,Min K,,numeric,6,0 | 12 | 19 | 32 | 43,0,50,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 7 rows."
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_1.csv,,Max K,,numeric,6,11 | 18 | 31 | 42 | 49,11,50,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 7 rows."
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_1.csv,,Min Rate ($),,numeric,6,0.25 | 0.5 | 1.5 | 2.5 | 3.5,0.25,5,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 7 rows."
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_1.csv,,Default Rate ($),,numeric,6,0.25 | 0.5 | 1.5 | 3 | 5,0.25,8,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 7 rows."
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_1.csv,,Max Rate ($),,numeric,6,0.5 | 1.5 | 2.5 | 3.5 | 5,0.5,8,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 7 rows."
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_10.csv,,column_1,,text,3,Total | SOV | HOV,,,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 4 rows."
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_10.csv,,Observed,,numeric,3,0.44517 | 0.484 | 0.41719,0.41719,0.484,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 4 rows."
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_10.csv,,Simulation,,numeric,3,0.539 | 0.50512 | 0.586,0.50512,0.586,csv,medium,"Some headers were missing; generated column_N names. Delimiter `,`; sampled first 4 rows."
paper-2014-01,HOT Or Not: Driver Elasticity To Price On The MnPASS HOT Lanes,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2014-01-hot-or-not-driver-elasticity-to-price-on-the-mnpass-hot-lanes,data/derived_tables_csv/Table_2.csv,,Density,,text,2,0-18 | 19+,,,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 3 rows."
